"""%Y-%m-%d""";X.DJI.Close;X.GDAXI.Close
2000-01-14;0.01206;0.03075
2000-01-17;0;0.01187
2000-01-18;-0.01394;-0.02607
2000-01-19;-0.006192;0.002672
2000-01-20;-0.01209;0.003044
2000-01-21;-0.008812;-0.017
2000-01-24;-0.02188;-0.008727
2000-01-25;0.001971;-0.01781
2000-01-26;0.000281;0.02319
2000-01-27;-0.0004506;0.02224
2000-01-28;-0.02657;-0.008389
2000-01-31;0.0186;-0.03324
2000-02-01;0.009146;0.03095
2000-02-02;-0.003434;0.01708
2000-02-03;0.0009302;0.0251
2000-02-04;-0.004517;0.01221
2000-02-07;-0.005305;-0.02012
2000-02-08;0.004739;0.03416
2000-02-09;-0.02387;0.01044
2000-02-10;-0.005204;0.01045
2000-02-11;-0.02073;-0.01276
2000-02-14;0.009036;0.004359
2000-02-15;0.01867;-0.03307
2000-02-16;-0.01473;0.01265
2000-02-17;-0.004445;0.01197
2000-02-18;-0.02846;-0.0008908
2000-02-21;0;0.002209
2000-02-22;0.008314;0.002291
2000-02-23;-0.007707;0.01189
2000-02-24;-0.0131;-0.00762
2000-02-25;-0.0231;0.01276
2000-02-28;0.01774;-0.01978
2000-02-29;0.008892;0.00754
2000-03-01;0.0009494;0.01085
2000-03-02;0.002659;0.0278
2000-03-03;0.0197;0.001793
2000-03-06;-0.01916;0.001977
2000-03-07;-0.03751;0.01112
2000-03-08;0.006157;-0.009715
2000-03-09;0.01552;-0.00475
2000-03-10;-0.008216;0.003366
2000-03-13;0.001842;-0.03601
2000-03-14;-0.01376;-0.005709
2000-03-15;0.03211;-0.03128
2000-03-16;0.0481;0.0226
2000-03-17;-0.003333;0.0166
2000-03-20;0.007991;0.02072
2000-03-21;0.02104;-0.008221
2000-03-22;-0.003733;-0.001193
2000-03-23;0.02303;-0.0134
2000-03-24;-0.0006423;0.03042
2000-03-27;-0.007848;-0.005046
2000-03-28;-0.008172;0.004985
2000-03-29;0.007525;-0.008504
2000-03-30;-0.003497;-0.02835
2000-03-31;-0.005326;-0.005969
2000-04-03;0.0271;-0.02265
2000-04-04;-0.0051;0.01252
2000-04-05;-0.0118;-0.02586
2000-04-06;0.007256;0.01562
2000-04-07;-0.0002511;0.01015
2000-04-10;0.006734;-0.0006982
2000-04-11;0.008946;-0.009932
2000-04-12;-0.01445;5.51E-05
2000-04-13;-0.01829;0.0008045
2000-04-14;-0.05822;-0.03195
2000-04-17;0.0265;-0.003845
2000-04-18;0.01732;0.0013
2000-04-19;-0.008624;0.002806
2000-04-20;0.01572;-0.008176
2000-04-21;0;0
2000-04-24;0.005706;0
2000-04-25;0.01986;0.01698
2000-04-26;-0.01625;0.01473
2000-04-27;-0.005258;-0.02284
2000-04-28;-0.01426;0.02637
2000-05-01;0.007228;0
2000-05-02;-0.007488;0.01887
2000-05-03;-0.02367;-0.02397
2000-05-04;-0.006475;0.001325
2000-05-05;0.01576;0.01932
2000-05-08;0.002433;-0.01643
2000-05-09;-0.006327;-0.01737
2000-05-10;-0.01617;-0.02218
2000-05-11;0.01704;0.01928
2000-05-12;0.005994;0.001349
2000-05-15;0.01853;-0.01025
2000-05-16;0.01166;0.02415
2000-05-17;-0.01519;-0.02188
2000-05-18;0.0006999;-0.004159
2000-05-19;-0.01406;-0.02718
2000-05-22;-0.007964;-0.01094
2000-05-23;-0.01147;0.002129
2000-05-24;0.01079;-0.01349
2000-05-25;-0.02027;0.02085
2000-05-26;-0.002393;-0.0202
2000-05-29;0;0.0256
2000-05-30;0.02189;0.01452
2000-05-31;-0.0004561;-0.001348
2000-06-01;0.01227;0.02268
2000-06-02;0.01329;0.02259
2000-06-05;0.001901;-0.004167
2000-06-06;-0.007399;-0.00653
2000-06-07;0.007174;-0.01009
2000-06-08;-0.01342;-0.004466
2000-06-09;-0.005137;-0.00092
2000-06-12;-0.004708;-0.0009236
2000-06-13;0.00544;0.003971
2000-06-14;0.006205;0.01122
2000-06-15;0.002511;-0.003041
2000-06-16;-0.02509;-0.01043
2000-06-19;0.01033;-0.007443
2000-06-20;-0.01169;0.003947
2000-06-21;0.005979;-0.01775
2000-06-22;-0.01165;-0.004993
2000-06-23;0.002755;-0.01201
2000-06-26;0.0132;0.006679
2000-06-27;-0.003661;0.003093
2000-06-28;0.002218;0.0007573
2000-06-29;-0.0124;-0.02474
2000-06-30;0.004783;7.27E-05
2000-07-03;0.01074;0.0115
2000-07-04;0;-0.00254
2000-07-05;-0.007325;0.002498
2000-07-06;-0.0002032;0.001589
2000-07-07;0.01463;0.01027
2000-07-10;0.0009961;0.00304
2000-07-11;0.007543;-0.008552
2000-07-12;0.00526;0.008516
2000-07-13;0.0004589;0.01413
2000-07-14;0.002226;0.02146
2000-07-17;-0.0007846;0.01474
2000-07-18;-0.005974;-0.003207
2000-07-19;-0.00409;-0.005461
2000-07-20;0.01372;0.0153
2000-07-21;-0.01022;-0.01363
2000-07-24;-0.004523;-0.008801
2000-07-25;0.001389;0.002084
2000-07-26;-0.0173;-0.008421
2000-07-27;0.006601;-0.0117
2000-07-28;-0.007106;-0.007706
2000-07-31;0.001028;0.00867
2000-08-01;0.008043;-0.006256
2000-08-02;0.007568;-0.00464
2000-08-03;0.001781;-0.01426
2000-08-04;0.005697;0.0006915
2000-08-07;0.009176;0.01368
2000-08-08;0.01006;0.004312
2000-08-09;-0.006495;0.01152
2000-08-10;0.0002686;0.00748
2000-08-11;0.01085;0.005753
2000-08-14;0.01336;0.001186
2000-08-15;-0.009813;-0.003312
2000-08-16;-0.00531;0.001072
2000-08-17;0.004283;-0.005049
2000-08-18;-0.0008289;-0.006341
2000-08-21;0.003013;-0.004584
2000-08-22;0.005341;0.006902
2000-08-23;0.0004936;-0.002268
2000-08-24;0.003412;-0.0003485
2000-08-25;0.000884;0.01058
2000-08-28;0.005365;0.004377
2000-08-29;-0.003359;-0.006126
2000-08-30;-0.01004;-0.01404
2000-08-31;0.01004;0.007217
2000-09-01;0.002109;0.01369
2000-09-04;0;0.01364
2000-09-05;0.00194;-0.007318
2000-09-06;0.004433;-0.008338
2000-09-07;-0.004499;0.005909
2000-09-08;-0.003489;-0.01535
2000-09-11;-0.002245;-0.006437
2000-09-12;0.003365;-0.01097
2000-09-13;-0.004555;-0.01831
2000-09-14;-0.008506;0.006198
2000-09-15;-0.01458;-0.007158
